date,symbol,dividend,split
2015-07-30,CUMMINSIND,9.0,0.0
2016-02-11,CUMMINSIND,5.0,0.0
2016-07-28,CUMMINSIND,9.0,0.0
2017-02-09,CUMMINSIND,5.0,0.0
2017-07-27,CUMMINSIND,9.0,0.0
2018-02-15,CUMMINSIND,5.0,0.0
2018-08-02,CUMMINSIND,10.0,0.0
2019-02-15,CUMMINSIND,7.0,0.0
2019-07-31,CUMMINSIND,10.0,0.0
2020-02-07,CUMMINSIND,7.0,0.0
2020-08-17,CUMMINSIND,7.0,0.0
2021-02-09,CUMMINSIND,7.0,0.0
2021-08-04,CUMMINSIND,8.0,0.0
2022-02-21,CUMMINSIND,8.0,0.0
2022-08-02,CUMMINSIND,10.5,0.0
2023-02-21,CUMMINSIND,12.0,0.0
2023-07-26,CUMMINSIND,13.0,0.0
2024-02-21,CUMMINSIND,18.0,0.0
2024-07-19,CUMMINSIND,20.0,0.0
2025-02-14,CUMMINSIND,18.0,0.0
2025-07-18,CUMMINSIND,33.5,0.0
2026-02-11,CUMMINSIND,20.0,0.0
2026-07-17,CUMMINSIND,46.0,0.0
2006-08-18,EMAMILTD,0.333333,0.0
2007-03-22,EMAMILTD,0.5,0.0
2007-09-20,EMAMILTD,0.166667,0.0
2008-08-18,EMAMILTD,0.75,0.0
2009-12-22,EMAMILTD,0.75,0.0
2010-07-21,EMAMILTD,0.666667,2.0
2011-08-05,EMAMILTD,1.166667,0.0
2012-08-02,EMAMILTD,2.666667,0.0
2013-06-26,EMAMILTD,2.666667,1.5
2014-01-24,EMAMILTD,1.5,0.0
2014-08-01,EMAMILTD,2.0,0.0
2014-09-19,EMAMILTD,2.0,0.0
2015-07-28,EMAMILTD,1.5,0.0
2016-07-26,EMAMILTD,3.5,0.0
2017-03-14,EMAMILTD,0.875,0.0
2017-07-26,EMAMILTD,2.625,0.0
2018-06-21,EMAMILTD,7.0,2.0
2019-07-31,EMAMILTD,4.0,0.0
2019-11-14,EMAMILTD,2.0,0.0
2020-03-26,EMAMILTD,2.0,0.0
2020-11-12,EMAMILTD,4.0,0.0
2021-02-04,EMAMILTD,4.0,0.0
2021-11-08,EMAMILTD,4.0,0.0
2022-02-10,EMAMILTD,4.0,0.0
2022-11-18,EMAMILTD,4.0,0.0
2023-02-13,EMAMILTD,4.0,0.0
2023-11-15,EMAMILTD,4.0,0.0
2024-02-16,EMAMILTD,4.0,0.0
2024-11-18,EMAMILTD,4.0,0.0
2025-02-04,EMAMILTD,4.0,0.0
